model,dataset,format,precision,threads,artifact,median_ms,p95_ms,fps,preprocess_ms,inference_ms,postprocess_ms,size_mb,map50,map50_95,temp_start_c,temp_end_c,throttled,power_w,status
best.pt,arg-bolts-4,hailo,fp32,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.8,n/a,n/a,3.84,SKIPPED: Ultralytics has no fp32 export path for hailo
best.pt,arg-bolts-4,hailo,int8,4,reused,26.371,30.516,37.92,3.14,22.345,0.345,7.544,n/a,n/a,61.7,62.2,throttled=0x0,3.86,ok
