elapsed_s,frames,latency_ms,cpu_temp_c,throttled,clock_arm_hz,power_w
405.8,21011,19.7,68.8,throttled=0x0,frequency(0)=2400030464,4.13
410.8,21271,19.19,68.3,throttled=0x0,frequency(0)=2400033792,3.98
415.8,21531,20.8,68.8,throttled=0x0,frequency(0)=2400023808,4.14
420.8,21790,19.12,68.3,throttled=0x0,frequency(0)=2400027136,4.16
425.8,22049,19.74,68.3,throttled=0x0,frequency(0)=2400020480,4.18
430.8,22309,19.04,68.3,throttled=0x0,frequency(0)=2400033792,3.98
435.8,22569,19.13,68.8,throttled=0x0,frequency(0)=2400027136,3.9
440.8,22830,19.08,69.4,throttled=0x0,frequency(0)=2400027136,3.92
445.9,23090,20.34,68.8,throttled=0x0,frequency(0)=2400033792,4.18
450.9,23350,18.94,69.4,throttled=0x0,frequency(0)=2400033792,4.19
455.9,23610,19.0,68.3,throttled=0x0,frequency(0)=2400030464,5.13
460.9,23870,19.13,68.3,throttled=0x0,frequency(0)=2400020480,4.12
465.9,24130,19.18,68.8,throttled=0x0,frequency(0)=2400020480,4.14
470.9,24390,19.22,68.8,throttled=0x0,frequency(0)=2400030464,4.03
475.9,24650,19.13,68.8,throttled=0x0,frequency(0)=2400033792,4.16
480.9,24908,19.4,68.3,throttled=0x0,frequency(0)=2400017408,4.15
485.9,25168,19.09,70.0,throttled=0x0,frequency(0)=2400017408,4.16
490.9,25428,19.1,69.4,throttled=0x0,frequency(0)=2400020480,3.92
495.9,25687,19.13,67.8,throttled=0x0,frequency(0)=2400020480,3.96
500.9,25946,19.26,68.8,throttled=0x0,frequency(0)=2400033792,4.3
505.9,26205,19.04,68.8,throttled=0x0,frequency(0)=2400017408,3.97
510.9,26462,18.98,68.8,throttled=0x0,frequency(0)=2400023808,4.16
515.9,26721,19.23,68.8,throttled=0x0,frequency(0)=2400023808,4.08
521.0,26981,19.1,69.4,throttled=0x0,frequency(0)=2400033792,4.19
526.0,27241,19.15,68.8,throttled=0x0,frequency(0)=2400027136,4.13
531.0,27501,19.15,68.8,throttled=0x0,frequency(0)=2400023808,4.19
536.0,27761,19.2,69.4,throttled=0x0,frequency(0)=2400020480,3.92
541.0,28020,19.09,70.0,throttled=0x0,frequency(0)=2400033792,4.16
546.0,28280,19.19,69.4,throttled=0x0,frequency(0)=2400020480,4.15
551.0,28540,19.12,69.4,throttled=0x0,frequency(0)=2400030464,4.04
556.0,28799,19.2,68.8,throttled=0x0,frequency(0)=2400023808,3.97
561.0,29059,19.18,68.3,throttled=0x0,frequency(0)=2400033792,4.16
566.0,29319,19.23,69.4,throttled=0x0,frequency(0)=2400023808,4.24
571.0,29578,19.29,69.4,throttled=0x0,frequency(0)=2400023808,4.19
576.1,29837,19.42,68.8,throttled=0x0,frequency(0)=2400033792,4.13
581.1,30096,19.09,70.0,throttled=0x0,frequency(0)=2400033792,4.16
586.1,30356,19.26,70.0,throttled=0x0,frequency(0)=2400033792,4.27
591.1,30616,19.19,68.8,throttled=0x0,frequency(0)=2400037120,4.2
596.1,30874,19.08,68.3,throttled=0x0,frequency(0)=2400020480,4.15
