elapsed_s,frames,latency_ms,cpu_temp_c,throttled,clock_arm_hz,power_w
395.9,17239,23.2,67.8,throttled=0x80000,frequency(0)=2400017408,4.15
400.9,17453,23.13,68.3,throttled=0x80000,frequency(0)=2400023808,4.06
405.9,17669,23.14,67.8,throttled=0x80000,frequency(0)=2400030464,4.15
410.9,17883,23.06,67.8,throttled=0x80000,frequency(0)=2400033792,3.86
415.9,18098,23.25,67.8,throttled=0x80000,frequency(0)=2400020480,4.04
420.9,18312,23.29,68.3,throttled=0x80000,frequency(0)=2400027136,4.12
425.9,18527,23.13,67.8,throttled=0x80000,frequency(0)=2400033792,4.19
430.9,18742,23.29,68.3,throttled=0x80000,frequency(0)=2400033792,3.89
436.0,18957,23.24,67.2,throttled=0x80000,frequency(0)=2400027136,3.9
441.0,19172,23.28,67.8,throttled=0x80000,frequency(0)=2400027136,3.91
446.0,19386,23.35,67.8,throttled=0x80000,frequency(0)=2400023808,3.88
451.0,19608,22.51,68.3,throttled=0x80000,frequency(0)=2400020480,4.13
456.0,19828,23.34,67.8,throttled=0x80000,frequency(0)=2400037120,4.09
461.0,20044,23.03,67.8,throttled=0x80000,frequency(0)=2400030464,3.88
466.0,20260,23.09,67.8,throttled=0x80000,frequency(0)=2400020480,3.84
471.0,20476,23.08,66.7,throttled=0x80000,frequency(0)=2400023808,4.08
476.0,20692,23.09,68.3,throttled=0x80000,frequency(0)=2400027136,3.9
481.0,20908,23.12,67.2,throttled=0x80000,frequency(0)=2400030464,4.09
486.1,21124,23.2,67.8,throttled=0x80000,frequency(0)=2400033792,4.1
491.1,21341,23.14,68.3,throttled=0x80000,frequency(0)=2400033792,4.01
496.1,21558,23.82,67.8,throttled=0x80000,frequency(0)=2400027136,3.85
501.1,21774,22.91,67.8,throttled=0x80000,frequency(0)=2400033792,3.91
506.1,21990,23.28,67.8,throttled=0x80000,frequency(0)=2400020480,3.89
511.1,22206,23.09,67.8,throttled=0x80000,frequency(0)=2400033792,4.07
516.1,22422,23.03,67.8,throttled=0x80000,frequency(0)=2400033792,4.07
521.1,22639,22.98,67.8,throttled=0x80000,frequency(0)=2400030464,4.09
526.2,22856,23.2,68.3,throttled=0x80000,frequency(0)=2400023808,4.12
531.2,23073,23.34,67.8,throttled=0x80000,frequency(0)=2400023808,4.12
536.2,23290,23.1,67.2,throttled=0x80000,frequency(0)=2400020480,3.96
541.2,23507,23.1,68.3,throttled=0x80000,frequency(0)=2400023808,4.19
546.2,23724,23.06,68.3,throttled=0x80000,frequency(0)=2400023808,4.08
551.2,23940,23.3,67.2,throttled=0x80000,frequency(0)=2400037120,4.1
556.2,24150,23.35,67.8,throttled=0x80000,frequency(0)=2400030464,3.88
561.2,24364,23.29,68.3,throttled=0x80000,frequency(0)=2400030464,3.93
566.3,24579,23.34,67.8,throttled=0x80000,frequency(0)=2400023808,3.9
571.3,24794,22.08,68.3,throttled=0x80000,frequency(0)=2400020480,4.1
576.3,25013,23.21,68.3,throttled=0x80000,frequency(0)=2400020480,4.29
581.3,25231,22.26,69.4,throttled=0x80000,frequency(0)=2400023808,3.86
586.3,25447,23.05,67.8,throttled=0x80000,frequency(0)=2400030464,3.89
591.3,25664,23.24,69.4,throttled=0x80000,frequency(0)=2400033792,3.87
596.3,25883,23.17,68.3,throttled=0x80000,frequency(0)=2400037120,3.86
